1322,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
3805,DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE
3458,DHANALAKSHMI SRINIVASAN INSTITUTE OF RESEARCH AND TECHNOLOGY
3459,DHANALAKSHMI SRINIVASAN INSTITUTE OF TECHNOLOGY
2345,DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY
4946,DMI ENGINEERING COLLEGE
2706,DR. MAHALINGAM COLLEGE OF ENGINEERING & TECHNOLOGY
1406,DR. PAULS ENGINEERING COLLEGE
4975,DR.G.U.POPE COLLEGE OF ENGINEERING
2736,DR.N G P INSTITUTE OF TECHNOLOGY
2662,DR.NAGARATHINAM'S COLLEGE OF ENGINEERING
2771,DR.NALLINI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3822,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING
4954,DR.SIVANTHI ADITANAR COLLEGE OF ENGINEERING
3806,E.G.S.PILLAY ENGINEERING COLLEGE (AUTONOMOUS)
1428,E.S ENGINEERING COLLEGE
2749,EASA COLLEGE OF ENGINEERING AND TECHNOLOGY
1304,EASWARI ENGINEERING COLLEGE
4980,EINSTEIN COLLEGE OF ENGINEERING
3463,ELIZABETH COLLEGE OF ENGINEERING AND TECHNOLOGY
2621,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING
2707,ERODE SENGUNTHAR ENGINEERING COLLEGE
2664,EXCEL COLLEGE OF ENGINEERING AND TECHNOLOGY
2634,EXCEL ENGINEERING COLLEGE
5935,FATIMA MICHAEL COLLEGE OF ENGINEERING AND TECHNOLOGY
4955,FRANCIS XAVIER ENGINEERING COLLEGE
1506,G.G.R. COLLEGE OF ENGINEERING
1407,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY
1507,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE
5924,GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY
2341,GANESH COLLEGE OF ENGINEERING
1523,GLOBAL INSTITUTE OF ENGINEERING AND TECHNOLOGY
2660,GNANAMANI COLLEGE OF ENGINEERING
2624,GNANAMANI COLLEGE OF TECHNOLOGY
1123,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY
1429,GOPAL RAMALINGAM MEMORIAL ENGINEERING COLLEGE
2603,GOVERNMENT COLLEGE OF  ENGINEERING - BARGUR
2369,GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI
2615,GOVERNMENT COLLEGE OF ENGINEERING - SALEM  (AUTONOMOUS)
3465,GOVERNMENT COLLEGE OF ENGINEERING - SRIRANGAM
3464,GOVERNMENT COLLEGE OF ENGINEERING - THANJAVUR
4974,GOVERNMENT COLLEGE OF ENGINEERING - TIRUNELVELI
5009,"GOVERNMENT COLLEGE OF ENGINEERING, BODIYANAYAKKANUR"
2005,"GOVERNMENT COLLEGE OF TECHNOLOGY, COIMBATORE (AUTONOMOUS)"
1238,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY
3461,HAJI SHEIK ISMAIL ENGINEERING COLLEGE
2708,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS)
2740,HINDUSTHAN INSTITUTE OF TECHNOLOGY
4934,HOLY CROSS ENGINEERING COLLEGE
2362,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE
1605,IDHAYA ENGINEERING COLLEGE FOR WOMEN
1408,IFET COLLEGE OF ENGINEERING
3845,IMAYAM COLLEGE OF ENGINEERING
4932,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING
2343,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY
1234,INDIRA GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN
1229,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY
3831,INDRA GANESAN COLLEGE OF ENGINEERING
4976,INFANT JESUS COLLEGE OF ENGINEERING
2732,INFO INSTITUTE OF ENGINEERING
2709,INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY
2769,J C T COLLEGE OF ENGINEERING AND TECHNOLOGY
1235,J E I MATHAAJEE COLLEGE OF ENGINEERING
2758,J K K MUNIRAJAH COLLEGE OF TECHNOLOGY
